Lat',Long',Name'
35.13109241,129.0512513,a'
35.19443107,129.0955973,b'
35.20119156,129.0778252,c'
35.09558877,129.0637316,d'
35.18145782,129.171072,e'
35.14875647,129.0205538,f'
35.15517659,129.0721332,g'
35.16489144,129.0344467,h'
35.16752718,129.0384709,I'
35.16541253,129.0648916,j'
35.25796393,129.0911898,k'
35.25124552,129.0913783,l'
35.09220898,128.9602555,m'
35.1945642,128.8950082,n'
35.10355361,128.9051511,o'
35.19724042,128.9661093,p'
35.16342399,128.9909576,q'
35.13215856,128.9648647,r'
35.33397812,129.1781892,s'
35.10200454,129.0251046,t'
35.13954369,129.0615315,u'
35.09673475,129.0247322,v'
35.11532839,129.0180889,x'
35.11971492,129.1120448,w'
35.15397522,129.1174322,y'
35.165441,129.1622353,z'
,,
,,
,,
